District,Zone,Geographical Region,Development Region,Grade ,Boys/Girls ,Numbers
Khotang,Sagarmatha,Hill,Eastern,Grade 6-8,Boys,8826
Lalitpur,Bagmati,Hill,Central,Grade 6,Girls,5280
Lalitpur,Bagmati,Hill,Central,Grade 6,Boys,5821
Lalitpur,Bagmati,Hill,Central,Grade 7,Girls,5017
Lalitpur,Bagmati,Hill,Central,Grade 7,Boys,5465
Lalitpur,Bagmati,Hill,Central,Grade 8,Girls,5148
Lalitpur,Bagmati,Hill,Central,Grade 8,Boys,5449
Lalitpur,Bagmati,Hill,Central,Grade 6-8,Girls,15445
Lalitpur,Bagmati,Hill,Central,Grade 6-8,Boys,16735
Lamjung,Gandaki,Hill,Western,Grade 6,Girls,2444
Lamjung,Gandaki,Hill,Western,Grade 6,Boys,2433
Lamjung,Gandaki,Hill,Western,Grade 7,Girls,2495
Lamjung,Gandaki,Hill,Western,Grade 7,Boys,2304
Lamjung,Gandaki,Hill,Western,Grade 8,Girls,2289
Lamjung,Gandaki,Hill,Western,Grade 8,Boys,2133
Lamjung,Gandaki,Hill,Western,Grade 6-8,Girls,7228
Lamjung,Gandaki,Hill,Western,Grade 6-8,Boys,6870
Mahottari,Janakpur,Terai,Central,Grade 6,Girls,5625
Mahottari,Janakpur,Terai,Central,Grade 6,Boys,6083
Mahottari,Janakpur,Terai,Central,Grade 7,Girls,5275
Mahottari,Janakpur,Terai,Central,Grade 7,Boys,5920
Mahottari,Janakpur,Terai,Central,Grade 8,Girls,4645
Mahottari,Janakpur,Terai,Central,Grade 8,Boys,5302
Mahottari,Janakpur,Terai,Central,Grade 6-8,Girls,15545
Mahottari,Janakpur,Terai,Central,Grade 6-8,Boys,17305
Makwanpur,Narayani,Hill,Central,Grade 6,Girls,5555
Makwanpur,Narayani,Hill,Central,Grade 6,Boys,5491
Makwanpur,Narayani,Hill,Central,Grade 7,Girls,5213
Makwanpur,Narayani,Hill,Central,Grade 7,Boys,4498
Makwanpur,Narayani,Hill,Central,Grade 8,Girls,5555
Makwanpur,Narayani,Hill,Central,Grade 8,Boys,4425
Makwanpur,Narayani,Hill,Central,Grade 6-8,Girls,16323
Makwanpur,Narayani,Hill,Central,Grade 6-8,Boys,14414
Manang,Gandaki,Mountain,Western,Grade 6,Girls,34
Manang,Gandaki,Mountain,Western,Grade 6,Boys,56
Manang,Gandaki,Mountain,Western,Grade 7,Girls,36
Manang,Gandaki,Mountain,Western,Grade 7,Boys,21
Manang,Gandaki,Mountain,Western,Grade 8,Girls,42
Manang,Gandaki,Mountain,Western,Grade 8,Boys,32
Manang,Gandaki,Mountain,Western,Grade 6-8,Girls,112
Manang,Gandaki,Mountain,Western,Grade 6-8,Boys,109
Morang,Kosi,Terai,Eastern,Grade 6,Girls,9007
Morang,Kosi,Terai,Eastern,Grade 6,Boys,8462
Morang,Kosi,Terai,Eastern,Grade 7,Girls,9195
Morang,Kosi,Terai,Eastern,Grade 7,Boys,8181
Morang,Kosi,Terai,Eastern,Grade 8,Girls,8982
Morang,Kosi,Terai,Eastern,Grade 8,Boys,8058
Morang,Kosi,Terai,Eastern,Grade 6-8,Girls,27184
Morang,Kosi,Terai,Eastern,Grade 6-8,Boys,24701
Mugu,Karnali,Mountain,Mid-Western,Grade 6,Girls,922
Mugu,Karnali,Mountain,Mid-Western,Grade 6,Boys,788
Mugu,Karnali,Mountain,Mid-Western,Grade 7,Girls,874
Mugu,Karnali,Mountain,Mid-Western,Grade 7,Boys,944
Mugu,Karnali,Mountain,Mid-Western,Grade 8,Girls,708
Mugu,Karnali,Mountain,Mid-Western,Grade 8,Boys,908
Mugu,Karnali,Mountain,Mid-Western,Grade 6-8,Girls,2504
Mugu,Karnali,Mountain,Mid-Western,Grade 6-8,Boys,2640
Mustang,Dhawalagiri,Mountain,Western,Grade 6,Girls,109
Mustang,Dhawalagiri,Mountain,Western,Grade 6,Boys,77
Mustang,Dhawalagiri,Mountain,Western,Grade 7,Girls,85
Mustang,Dhawalagiri,Mountain,Western,Grade 7,Boys,93
Mustang,Dhawalagiri,Mountain,Western,Grade 8,Girls,77
Mustang,Dhawalagiri,Mountain,Western,Grade 8,Boys,83
Mustang,Dhawalagiri,Mountain,Western,Grade 6-8,Girls,271
Mustang,Dhawalagiri,Mountain,Western,Grade 6-8,Boys,253
Myagdi,Dhawalagiri,Hill,Western,Grade 6,Girls,1741
Myagdi,Dhawalagiri,Hill,Western,Grade 6,Boys,1606
Myagdi,Dhawalagiri,Hill,Western,Grade 7,Girls,1636
Myagdi,Dhawalagiri,Hill,Western,Grade 7,Boys,1434
Myagdi,Dhawalagiri,Hill,Western,Grade 8,Girls,1481
Myagdi,Dhawalagiri,Hill,Western,Grade 8,Boys,1384
Myagdi,Dhawalagiri,Hill,Western,Grade 6-8,Girls,4858
Myagdi,Dhawalagiri,Hill,Western,Grade 6-8,Boys,4424
Nawalparasi,Lumbini,Terai,Western,Grade 6,Girls,8853
Nawalparasi,Lumbini,Terai,Western,Grade 6,Boys,8456
Nawalparasi,Lumbini,Terai,Western,Grade 7,Girls,8327
Nawalparasi,Lumbini,Terai,Western,Grade 7,Boys,7696
Nawalparasi,Lumbini,Terai,Western,Grade 8,Girls,7482
Nawalparasi,Lumbini,Terai,Western,Grade 8,Boys,7228
Nawalparasi,Lumbini,Terai,Western,Grade 6-8,Girls,24662
Nawalparasi,Lumbini,Terai,Western,Grade 6-8,Boys,23380
Nuwakot,Bagmati,Hill,Central,Grade 6,Girls,3578
Nuwakot,Bagmati,Hill,Central,Grade 6,Boys,3239
Nuwakot,Bagmati,Hill,Central,Grade 7,Girls,3544
Nuwakot,Bagmati,Hill,Central,Grade 7,Boys,3141
Nuwakot,Bagmati,Hill,Central,Grade 8,Girls,3320
Nuwakot,Bagmati,Hill,Central,Grade 8,Boys,2696
Nuwakot,Bagmati,Hill,Central,Grade 6-8,Girls,10442
Nuwakot,Bagmati,Hill,Central,Grade 6-8,Boys,9076
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 6,Girls,2392
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 6,Boys,2179
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 7,Girls,2386
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 7,Boys,2035
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 8,Girls,2142
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 8,Boys,1991
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 6-8,Girls,6920
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 6-8,Boys,6205
Palpa,Lumbini,Hill,Western,Grade 6,Girls,4124
Palpa,Lumbini,Hill,Western,Grade 6,Boys,3988
Palpa,Lumbini,Hill,Western,Grade 7,Girls,3936
Palpa,Lumbini,Hill,Western,Grade 7,Boys,3649
Palpa,Lumbini,Hill,Western,Grade 8,Girls,3790
Palpa,Lumbini,Hill,Western,Grade 8,Boys,3454
Palpa,Lumbini,Hill,Western,Grade 6-8,Girls,11850
