District,Zone,Geographical Region,Development Region,Year BS,Year AD,Grade Category,Grade,Gender,Ethnicity,Number of students
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 3,Total,Janjati,1424
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 4,Girls,Janjati,729
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 4,Boys,Janjati,686
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 4,Total,Janjati,1415
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 5,Girls,Janjati,463
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 5,Boys,Janjati,468
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 5,Total,Janjati,931
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 6,Girls,Others,2734
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 6,Boys,Others,2991
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 6,Total,Others,5725
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 7,Girls,Others,2254
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 7,Boys,Others,2615
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 7,Total,Others,4869
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 8,Girls,Others,2278
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 8,Boys,Others,2737
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 8,Total,Others,5015
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 9,Girls,Others,1897
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 9,Boys,Others,2541
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 9,Total,Others,4438
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 10,Girls,Others,1738
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 10,Boys,Others,2225
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary total enrollment,Grade 10,Total,Others,3963
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 6,Girls,Dalit,471
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 6,Boys,Dalit,602
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 6,Total,Dalit,1073
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 7,Girls,Dalit,349
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 7,Boys,Dalit,475
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 7,Total,Dalit,824
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 8,Girls,Dalit,272
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 8,Boys,Dalit,446
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 8,Total,Dalit,718
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 9,Girls,Dalit,211
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 9,Boys,Dalit,299
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 9,Total,Dalit,510
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 10,Girls,Dalit,168
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 10,Boys,Dalit,250
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary dalit enrollment,Grade 10,Total,Dalit,418
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 6,Girls,Janjati,349
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 6,Boys,Janjati,404
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 6,Total,Janjati,753
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 7,Girls,Janjati,303
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 7,Boys,Janjati,335
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 7,Total,Janjati,638
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 8,Girls,Janjati,308
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 8,Boys,Janjati,345
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 8,Total,Janjati,653
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 9,Girls,Janjati,223
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 9,Boys,Janjati,330
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 9,Total,Janjati,553
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 10,Girls,Janjati,176
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 10,Boys,Janjati,219
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Lower Secondary & Secondary Janjati enrollment,Grade 10,Total,Janjati,395
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Total,Grade 11,Girls,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Total,Grade 11,Boys,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Total,Grade 11,Total,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Total,Grade 12,Girls,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Total,Grade 12,Boys,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Total,Grade 12,Total,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary  Dalit,Grade 11,Girls,Dalit,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary  Dalit,Grade 11,Boys,Dalit,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary  Dalit,Grade 11,Total,Dalit,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary  Dalit,Grade 12,Girls,Dalit,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary  Dalit,Grade 12,Boys,Dalit,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary  Dalit,Grade 12,Total,Dalit,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Janjati,Grade 11,Girls,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Janjati,Grade 11,Boys,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Janjati,Grade 11,Total,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Janjati,Grade 12,Girls,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Higher Secondary Janjati,Grade 12,Boys,Janjati,0
