District,Zone,Geographical Region,Development Region,Grade ,Girls/Boys,Number
Kavre,Bagmati,Hill,Central,Grade 11-12,Boys,3256
Khotang,Sagarmatha,Hill,Eastern,Grade 11,Girls,1061
Khotang,Sagarmatha,Hill,Eastern,Grade 11,Boys,768
Khotang,Sagarmatha,Hill,Eastern,Grade 12,Girls,1231
Khotang,Sagarmatha,Hill,Eastern,Grade 12,Boys,902
Khotang,Sagarmatha,Hill,Eastern,Grade 11-12,Girls,2292
Khotang,Sagarmatha,Hill,Eastern,Grade 11-12,Boys,1670
Lalitpur,Bagmati,Hill,Central,Grade 11,Girls,2296
Lalitpur,Bagmati,Hill,Central,Grade 11,Boys,2212
Lalitpur,Bagmati,Hill,Central,Grade 12,Girls,2092
Lalitpur,Bagmati,Hill,Central,Grade 12,Boys,1984
Lalitpur,Bagmati,Hill,Central,Grade 11-12,Girls,4388
Lalitpur,Bagmati,Hill,Central,Grade 11-12,Boys,4196
Lamjung,Gandaki,Hill,Western,Grade 11,Girls,996
Lamjung,Gandaki,Hill,Western,Grade 11,Boys,731
Lamjung,Gandaki,Hill,Western,Grade 12,Girls,790
Lamjung,Gandaki,Hill,Western,Grade 12,Boys,545
Lamjung,Gandaki,Hill,Western,Grade 11-12,Girls,1786
Lamjung,Gandaki,Hill,Western,Grade 11-12,Boys,1276
Mahottari,Janakpur,Terai,Central,Grade 11,Girls,1162
Mahottari,Janakpur,Terai,Central,Grade 11,Boys,1241
Mahottari,Janakpur,Terai,Central,Grade 12,Girls,1087
Mahottari,Janakpur,Terai,Central,Grade 12,Boys,1152
Mahottari,Janakpur,Terai,Central,Grade 11-12,Girls,2249
Mahottari,Janakpur,Terai,Central,Grade 11-12,Boys,2393
Makwanpur,Narayani,Hill,Central,Grade 11,Girls,1333
Makwanpur,Narayani,Hill,Central,Grade 11,Boys,891
Makwanpur,Narayani,Hill,Central,Grade 12,Girls,1046
Makwanpur,Narayani,Hill,Central,Grade 12,Boys,675
Makwanpur,Narayani,Hill,Central,Grade 11-12,Girls,2379
Makwanpur,Narayani,Hill,Central,Grade 11-12,Boys,1566
Manang,Gandaki,Mountain,Western,Grade 11,Girls,31
Manang,Gandaki,Mountain,Western,Grade 11,Boys,36
Manang,Gandaki,Mountain,Western,Grade 12,Girls,17
Manang,Gandaki,Mountain,Western,Grade 12,Boys,35
Manang,Gandaki,Mountain,Western,Grade 11-12,Girls,48
Manang,Gandaki,Mountain,Western,Grade 11-12,Boys,71
Morang,Kosi,Terai,Eastern,Grade 11,Girls,2689
Morang,Kosi,Terai,Eastern,Grade 11,Boys,2616
Morang,Kosi,Terai,Eastern,Grade 12,Girls,2629
Morang,Kosi,Terai,Eastern,Grade 12,Boys,2296
Morang,Kosi,Terai,Eastern,Grade 11-12,Girls,5318
Morang,Kosi,Terai,Eastern,Grade 11-12,Boys,4912
Mugu,Karnali,Mountain,Mid-Western,Grade 11,Girls,117
Mugu,Karnali,Mountain,Mid-Western,Grade 11,Boys,317
Mugu,Karnali,Mountain,Mid-Western,Grade 12,Girls,71
Mugu,Karnali,Mountain,Mid-Western,Grade 12,Boys,303
Mugu,Karnali,Mountain,Mid-Western,Grade 11-12,Girls,188
Mugu,Karnali,Mountain,Mid-Western,Grade 11-12,Boys,620
Mustang,Dhawalagiri,Mountain,Western,Grade 11,Girls,15
Mustang,Dhawalagiri,Mountain,Western,Grade 11,Boys,18
Mustang,Dhawalagiri,Mountain,Western,Grade 12,Girls,10
Mustang,Dhawalagiri,Mountain,Western,Grade 12,Boys,11
Mustang,Dhawalagiri,Mountain,Western,Grade 11-12,Girls,25
Mustang,Dhawalagiri,Mountain,Western,Grade 11-12,Boys,29
Myagdi,Dhawalagiri,Hill,Western,Grade 11,Girls,844
Myagdi,Dhawalagiri,Hill,Western,Grade 11,Boys,514
Myagdi,Dhawalagiri,Hill,Western,Grade 12,Girls,575
Myagdi,Dhawalagiri,Hill,Western,Grade 12,Boys,372
Myagdi,Dhawalagiri,Hill,Western,Grade 11-12,Girls,1419
