District ,Zone,Geographical Region,Development Region,Level,Number of Student 
Kaski,Gandaki,Hill,Western,Grade(6-8),36430
Kaski,Gandaki,Hill,Western,Grade (9-10),21040
Kaski,Gandaki,Hill,Western,Grade(11-12),18066
Kathmandu,Bagmati,Hill,Central,Grade (1-5),172232
Kathmandu,Bagmati,Hill,Central,Grade(6-8),94375
Kathmandu,Bagmati,Hill,Central,Grade (9-10),56521
Kathmandu,Bagmati,Hill,Central,Grade(11-12),27059
Kavre,Bagmati,Hill,Central,Grade (1-5),62418
Kavre,Bagmati,Hill,Central,Grade(6-8),31374
Kavre,Bagmati,Hill,Central,Grade (9-10),17404
Kavre,Bagmati,Hill,Central,Grade(11-12),7637
Khotang,Sagarmatha,Hill,Eastern,Grade (1-5),47795
Khotang,Sagarmatha,Hill,Eastern,Grade(6-8),18466
Khotang,Sagarmatha,Hill,Eastern,Grade (9-10),9629
Khotang,Sagarmatha,Hill,Eastern,Grade(11-12),3962
Lalitpur,Bagmati,Hill,Central,Grade (1-5),57014
Lalitpur,Bagmati,Hill,Central,Grade(6-8),32180
Lalitpur,Bagmati,Hill,Central,Grade (9-10),19542
Lalitpur,Bagmati,Hill,Central,Grade(11-12),8584
Lamjung,Gandaki,Hill,Western,Grade (1-5),27742
Lamjung,Gandaki,Hill,Western,Grade(6-8),14098
Lamjung,Gandaki,Hill,Western,Grade (9-10),7547
Lamjung,Gandaki,Hill,Western,Grade(11-12),3062
Mahottari,Janakpur,Terai,Central,Grade (1-5),134087
Mahottari,Janakpur,Terai,Central,Grade(6-8),32850
Mahottari,Janakpur,Terai,Central,Grade (9-10),12996
Mahottari,Janakpur,Terai,Central,Grade(11-12),4642
Makwanpur,Narayani,Hill,Central,Grade (1-5),74022
Makwanpur,Narayani,Hill,Central,Grade(6-8),30737
Makwanpur,Narayani,Hill,Central,Grade (9-10),11269
Makwanpur,Narayani,Hill,Central,Grade(11-12),3945
Manang,Gandaki,Mountain,Western,Grade (1-5),418
Manang,Gandaki,Mountain,Western,Grade(6-8),221
Manang,Gandaki,Mountain,Western,Grade (9-10),132
Manang,Gandaki,Mountain,Western,Grade(11-12),119
Morang,Kosi,Terai,Eastern,Grade (1-5),112644
Morang,Kosi,Terai,Eastern,Grade(6-8),51885
Morang,Kosi,Terai,Eastern,Grade (9-10),23753
Morang,Kosi,Terai,Eastern,Grade(11-12),10230
Mugu,Karnali,Mountain,Mid-Western,Grade (1-5),10824
Mugu,Karnali,Mountain,Mid-Western,Grade(6-8),5144
Mugu,Karnali,Mountain,Mid-Western,Grade (9-10),1964
Mugu,Karnali,Mountain,Mid-Western,Grade(11-12),808
Mustang,Dhawalagiri,Mountain,Western,Grade (1-5),1590
Mustang,Dhawalagiri,Mountain,Western,Grade(6-8),524
Mustang,Dhawalagiri,Mountain,Western,Grade (9-10),256
Mustang,Dhawalagiri,Mountain,Western,Grade(11-12),54
Myagdi,Dhawalagiri,Hill,Western,Grade (1-5),18068
Myagdi,Dhawalagiri,Hill,Western,Grade(6-8),9282
Myagdi,Dhawalagiri,Hill,Western,Grade (9-10),4573
Myagdi,Dhawalagiri,Hill,Western,Grade(11-12),2305
Nawalparasi,Lumbini,Terai,Western,Grade (1-5),103427
Nawalparasi,Lumbini,Terai,Western,Grade(6-8),48042
Nawalparasi,Lumbini,Terai,Western,Grade (9-10),22982
Nawalparasi,Lumbini,Terai,Western,Grade(11-12),11085
Nuwakot,Bagmati,Hill,Central,Grade (1-5),45593
Nuwakot,Bagmati,Hill,Central,Grade(6-8),19518
Nuwakot,Bagmati,Hill,Central,Grade (9-10),9689
Nuwakot,Bagmati,Hill,Central,Grade(11-12),3781
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade (1-5),26376
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade(6-8),13125
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade (9-10),6485
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade(11-12),2304
Palpa,Lumbini,Hill,Western,Grade (1-5),43914
Palpa,Lumbini,Hill,Western,Grade(6-8),22941
Palpa,Lumbini,Hill,Western,Grade (9-10),9914
Palpa,Lumbini,Hill,Western,Grade(11-12),6191
Panchthar,Mechi,Hill,Eastern,Grade (1-5),33658
Panchthar,Mechi,Hill,Eastern,Grade(6-8),17925
Panchthar,Mechi,Hill,Eastern,Grade (9-10),9239
Panchthar,Mechi,Hill,Eastern,Grade(11-12),3589
Parbat,Dhawalagiri,Hill,Western,Grade (1-5),22482
Parbat,Dhawalagiri,Hill,Western,Grade(6-8),12019
Parbat,Dhawalagiri,Hill,Western,Grade (9-10),7020
Parbat,Dhawalagiri,Hill,Western,Grade(11-12),3493
Parsa,Narayani,Terai,Central,Grade (1-5),109990
Parsa,Narayani,Terai,Central,Grade(6-8),23946
Parsa,Narayani,Terai,Central,Grade (9-10),9519
Parsa,Narayani,Terai,Central,Grade(11-12),1696
Pyuthan,Rapti,Hill,Mid-Western,Grade (1-5),47950
Pyuthan,Rapti,Hill,Mid-Western,Grade(6-8),17987
Pyuthan,Rapti,Hill,Mid-Western,Grade (9-10),5748
Pyuthan,Rapti,Hill,Mid-Western,Grade(11-12),2587
Ramechhap,Janakpur,Hill,Central,Grade (1-5),36273
Ramechhap,Janakpur,Hill,Central,Grade(6-8),19558
Ramechhap,Janakpur,Hill,Central,Grade (9-10),10696
Ramechhap,Janakpur,Hill,Central,Grade(11-12),5047
Rasuwa,Bagmati,Mountain,Central,Grade (1-5),7918
Rasuwa,Bagmati,Mountain,Central,Grade(6-8),3317
Rasuwa,Bagmati,Mountain,Central,Grade (9-10),1813
Rasuwa,Bagmati,Mountain,Central,Grade(11-12),963
Rautahat,Narayani,Terai,Central,Grade (1-5),136479
Rautahat,Narayani,Terai,Central,Grade(6-8),27855
Rautahat,Narayani,Terai,Central,Grade (9-10),14258
Rautahat,Narayani,Terai,Central,Grade(11-12),10068
Rolpa,Rapti,Hill,Mid-Western,Grade (1-5),53913
Rolpa,Rapti,Hill,Mid-Western,Grade(6-8),17023
Rolpa,Rapti,Hill,Mid-Western,Grade (9-10),5674
Rolpa,Rapti,Hill,Mid-Western,Grade(11-12),1778
Rukum,Rapti,Hill,Mid-Western,Grade (1-5),65217
Rukum,Rapti,Hill,Mid-Western,Grade(6-8),21009
Rukum,Rapti,Hill,Mid-Western,Grade (9-10),9422
Rukum,Rapti,Hill,Mid-Western,Grade(11-12),4853
Rupandehi,Lumbini,Terai,Western,Grade (1-5),131448
Rupandehi,Lumbini,Terai,Western,Grade(6-8),55812
Rupandehi,Lumbini,Terai,Western,Grade (9-10),26562
Rupandehi,Lumbini,Terai,Western,Grade(11-12),11376
Salyan,Rapti,Hill,Mid-Western,Grade (1-5),50966
Salyan,Rapti,Hill,Mid-Western,Grade(6-8),23958
Salyan,Rapti,Hill,Mid-Western,Grade (9-10),9818
Salyan,Rapti,Hill,Mid-Western,Grade(11-12),4320
Sankhuwasabha,Kosi,Mountain,Eastern,Grade (1-5),34616
Sankhuwasabha,Kosi,Mountain,Eastern,Grade(6-8),12571
Sankhuwasabha,Kosi,Mountain,Eastern,Grade (9-10),5424
Sankhuwasabha,Kosi,Mountain,Eastern,Grade(11-12),1963
Saptari,Sagarmatha,Terai,Eastern,Grade (1-5),87018
Saptari,Sagarmatha,Terai,Eastern,Grade(6-8),27841
Saptari,Sagarmatha,Terai,Eastern,Grade (9-10),12479
Saptari,Sagarmatha,Terai,Eastern,Grade(11-12),2927
Sarlahi,Janakpur,Terai,Central,Grade (1-5),164862
Sarlahi,Janakpur,Terai,Central,Grade(6-8),31455
Sarlahi,Janakpur,Terai,Central,Grade (9-10),13699
