District,Zone,Geographical Region,Development Region,Sub Group,Number
Ramechhap,Janakpur,Hill,Central,Grade 9 Boys,2724
Ramechhap,Janakpur,Hill,Central,Grade 10 Girls,2706
Ramechhap,Janakpur,Hill,Central,Grade 10 Boys,2110
Ramechhap,Janakpur,Hill,Central,Grade 9-10 Girls,5862
Ramechhap,Janakpur,Hill,Central,Grade 9-10 Boys,4834
Rasuwa,Bagmati,Mountain,Central,Grade 9 Girls,498
Rasuwa,Bagmati,Mountain,Central,Grade 9 Boys,482
Rasuwa,Bagmati,Mountain,Central,Grade 10 Girls,452
Rasuwa,Bagmati,Mountain,Central,Grade 10 Boys,381
Rasuwa,Bagmati,Mountain,Central,Grade 9-10 Girls,950
Rasuwa,Bagmati,Mountain,Central,Grade 9-10 Boys,863
Rautahat,Narayani,Terai,Central,Grade 9 Girls,3103
Rautahat,Narayani,Terai,Central,Grade 9 Boys,4351
Rautahat,Narayani,Terai,Central,Grade 10 Girls,2932
Rautahat,Narayani,Terai,Central,Grade 10 Boys,3872
Rautahat,Narayani,Terai,Central,Grade 9-10 Girls,6035
Rautahat,Narayani,Terai,Central,Grade 9-10 Boys,8223
Rolpa,Rapti,Hill,Mid-Western,Grade 9 Girls,1592
Rolpa,Rapti,Hill,Mid-Western,Grade 9 Boys,1634
Rolpa,Rapti,Hill,Mid-Western,Grade 10 Girls,1181
Rolpa,Rapti,Hill,Mid-Western,Grade 10 Boys,1267
Rolpa,Rapti,Hill,Mid-Western,Grade 9-10 Girls,2773
Rolpa,Rapti,Hill,Mid-Western,Grade 9-10 Boys,2901
Rukum,Rapti,Hill,Mid-Western,Grade 9 Girls,2510
Rukum,Rapti,Hill,Mid-Western,Grade 9 Boys,2455
Rukum,Rapti,Hill,Mid-Western,Grade 10 Girls,2203
Rukum,Rapti,Hill,Mid-Western,Grade 10 Boys,2254
Rukum,Rapti,Hill,Mid-Western,Grade 9-10 Girls,4713
Rukum,Rapti,Hill,Mid-Western,Grade 9-10 Boys,4709
Rupandehi,Lumbini,Terai,Western,Grade 9 Girls,6960
Rupandehi,Lumbini,Terai,Western,Grade 9 Boys,7472
Rupandehi,Lumbini,Terai,Western,Grade 10 Girls,5798
Rupandehi,Lumbini,Terai,Western,Grade 10 Boys,6332
Rupandehi,Lumbini,Terai,Western,Grade 9-10 Girls,12758
Rupandehi,Lumbini,Terai,Western,Grade 9-10 Boys,13804
Salyan,Rapti,Hill,Mid-Western,Grade 9 Girls,2778
Salyan,Rapti,Hill,Mid-Western,Grade 9 Boys,2556
Salyan,Rapti,Hill,Mid-Western,Grade 10 Girls,2331
Salyan,Rapti,Hill,Mid-Western,Grade 10 Boys,2153
Salyan,Rapti,Hill,Mid-Western,Grade 9-10 Girls,5109
Salyan,Rapti,Hill,Mid-Western,Grade 9-10 Boys,4709
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 9 Girls,1592
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 9 Boys,1445
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 10 Girls,1191
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 10 Boys,1196
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 9-10 Girls,2783
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 9-10 Boys,2641
Saptari,Sagarmatha,Terai,Eastern,Grade 9 Girls,3316
Saptari,Sagarmatha,Terai,Eastern,Grade 9 Boys,3657
Saptari,Sagarmatha,Terai,Eastern,Grade 10 Girls,2577
Saptari,Sagarmatha,Terai,Eastern,Grade 10 Boys,2929
Saptari,Sagarmatha,Terai,Eastern,Grade 9-10 Girls,5893
Saptari,Sagarmatha,Terai,Eastern,Grade 9-10 Boys,6586
Sarlahi,Janakpur,Terai,Central,Grade 9 Girls,3601
Sarlahi,Janakpur,Terai,Central,Grade 9 Boys,4070
Sarlahi,Janakpur,Terai,Central,Grade 10 Girls,2759
Sarlahi,Janakpur,Terai,Central,Grade 10 Boys,3269
Sarlahi,Janakpur,Terai,Central,Grade 9-10 Girls,6360
Sarlahi,Janakpur,Terai,Central,Grade 9-10 Boys,7339
Sindhuli,Janakpur,Hill,Central,Grade 9 Girls,3195
Sindhuli,Janakpur,Hill,Central,Grade 9 Boys,3115
Sindhuli,Janakpur,Hill,Central,Grade 10 Girls,2620
Sindhuli,Janakpur,Hill,Central,Grade 10 Boys,2662
Sindhuli,Janakpur,Hill,Central,Grade 9-10 Girls,5815
Sindhuli,Janakpur,Hill,Central,Grade 9-10 Boys,5777
Sindhupalchok,Bagmati,Mountain,Central,Grade 9 Girls,3376
Sindhupalchok,Bagmati,Mountain,Central,Grade 9 Boys,2979
Sindhupalchok,Bagmati,Mountain,Central,Grade 10 Girls,2769
Sindhupalchok,Bagmati,Mountain,Central,Grade 10 Boys,2620
Sindhupalchok,Bagmati,Mountain,Central,Grade 9-10 Girls,6145
Sindhupalchok,Bagmati,Mountain,Central,Grade 9-10 Boys,5599
Siraha,Sagarmatha,Terai,Eastern,Grade 9 Girls,4182
Siraha,Sagarmatha,Terai,Eastern,Grade 9 Boys,4672
Siraha,Sagarmatha,Terai,Eastern,Grade 10 Girls,3050
Siraha,Sagarmatha,Terai,Eastern,Grade 10 Boys,3509
Siraha,Sagarmatha,Terai,Eastern,Grade 9-10 Girls,7232
Siraha,Sagarmatha,Terai,Eastern,Grade 9-10 Boys,8181
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 9 Girls,1200
